cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,277,1,31227334.24,100000004400305100|100000000437046100|100000008477350100,"Observed 277 nodes, 1 seed, 31,227,334 KZT internal; 25 terminal candidates suggest observed receipt for review."
1,56,1,10014014.02,100000002894076100|100000005778283100|100000001929088100,"Observed 56 nodes, 1 seed, 10,014,014 KZT internal; 11 terminal candidates suggest observed receipt for review."
2,146,3,19519090.0,100000007908818100|100000008304139100|100000008748914100,"Observed 146 nodes, 3 seeds, 19,519,090 KZT internal; 31 terminal candidates suggest observed receipt for review."
3,41,3,4888834.28,100000004156082100|100000004820260100|100000005339662100,"Observed 41 nodes, 3 seeds, 4,888,834 KZT internal; 6 terminal candidates suggest observed receipt for review."
4,158,1,32434270.59,100000002838861100|100000008489922100|100000006972210100,"Observed 158 nodes, 1 seed, 32,434,271 KZT internal; 43 terminal candidates suggest observed receipt for review."
5,4,0,460000.0,100000006069103100|100000000201868100|100000003192220100,"Observed 4 nodes, 0 seeds, 460,000 KZT internal; 2 transit candidates suggest movement for review."
6,5,0,1189154.0,100000000291906100|100000004670388100|100000000291908100,"Observed 5 nodes, 0 seeds, 1,189,154 KZT internal; 1 transit candidates suggest movement for review."
7,53,1,2993313.0,100000003265158100|100000002679516100|100000002757797100,"Observed 53 nodes, 1 seed, 2,993,313 KZT internal; 2 terminal candidates suggest observed receipt for review."
8,106,0,11794744.0,100000008603629100|100000003880331100|100000001857829100,"Observed 106 nodes, 0 seeds, 11,794,744 KZT internal; 8 terminal candidates suggest observed receipt for review."
9,6,1,1615030.0,100000008193577100|100000008736940100|100000008751429100,"Observed 6 nodes, 1 seed, 1,615,030 KZT internal; role pattern insufficient for a group function."
10,126,0,24907250.33,100000000331309100|100000008560717100|100000001330685100,"Observed 126 nodes, 0 seeds, 24,907,250 KZT internal; 35 terminal candidates suggest observed receipt for review."
11,54,1,6244622.0,100000003115284100|100000006707582100|100000002957306100,"Observed 54 nodes, 1 seed, 6,244,622 KZT internal; 13 terminal candidates suggest observed receipt for review."
12,52,5,4171441.0,100000008346837100|100000005074393100|100000000489417100,"Observed 52 nodes, 5 seeds, 4,171,441 KZT internal; 3 terminal candidates suggest observed receipt for review."
13,15,0,850450.0,100000001526235100|100000005505655100|100000001788284100,"Observed 15 nodes, 0 seeds, 850,450 KZT internal; role pattern insufficient for a group function."
14,15,0,3626010.0,100000006704530100|100000008461532100|100000003122817100,"Observed 15 nodes, 0 seeds, 3,626,010 KZT internal; 3 terminal candidates suggest observed receipt for review."
15,14,0,1605604.0,100000007382543100|100000003001661100|100000008213966100,"Observed 14 nodes, 0 seeds, 1,605,604 KZT internal; role pattern insufficient for a group function."
16,127,7,18414962.28,100000001530983100|100000002173161100|100000006518161100,"Observed 127 nodes, 7 seeds, 18,414,962 KZT internal; 21 terminal candidates suggest observed receipt for review."
17,1,1,0.0,100000000456947100,"Observed 1 node, 1 seed, 0 internal KZT; no collective role can be inferred."
18,61,0,4350466.67,100000005704413100|100000005473151100|100000005578559100,"Observed 61 nodes, 0 seeds, 4,350,467 KZT internal; 4 terminal candidates suggest observed receipt for review."
19,7,0,143000.0,100000004508696100|100000000507799100|100000005911352100,"Observed 7 nodes, 0 seeds, 143,000 KZT internal; role pattern insufficient for a group function."
20,8,0,2473417.91,100000004906181100|100000008175078100|100000008675322100,"Observed 8 nodes, 0 seeds, 2,473,418 KZT internal; role pattern insufficient for a group function."
21,17,1,21586840.0,100000004603109100|100000003835149100|100000002224132100,"Observed 17 nodes, 1 seed, 21,586,840 KZT internal; 3 terminal candidates suggest observed receipt for review."
22,270,1,10178044.0,100000002578405100|100000001697501100|100000008737958100,"Observed 270 nodes, 1 seed, 10,178,044 KZT internal; 3 distributor candidates suggest distribution for review."
23,6,1,1527967.0,100000005183943100|100000007939160100|100000003888271100,"Observed 6 nodes, 1 seed, 1,527,967 KZT internal; 1 terminal candidates suggest observed receipt for review."
24,60,0,15020787.0,100000005242320100|100000008742053100|100000001282143100,"Observed 60 nodes, 0 seeds, 15,020,787 KZT internal; 24 terminal candidates suggest observed receipt for review."
